,date,id,images,last_seen,location,name,price,url
31,2020-08-10 16:08,7175111230,"https://images.craigslist.org/00M0M_6jYflaqNLyQ_05a06T_300x300.jpg, https://images.craigslist.org/00t0t_jRmC1Ze3fLt_05a06T_300x300.jpg",Fri Aug 14 03:18:06 2020,Esondido,White mid century modern desk/dining chair,35.0,https://sandiego.craigslist.org/nsd/fuo/d/escondido-white-mid-century-modern-desk/7175111230.html
32,2020-08-10 14:38,7167411314,"https://images.craigslist.org/00909_kUh4BxE9DzK_09G04z_300x300.jpg, https://images.craigslist.org/00707_57l2LckKCnu_09G04z_300x300.jpg, https://images.craigslist.org/01111_a0ny3milyfX_03q07g_300x300.jpg, https://images.craigslist.org/00K0K_4x0Euu7tE7d_03q07g_300x300.jpg, https://images.craigslist.org/00N0N_8PVWe33REvv_09G04z_300x300.jpg, https://images.craigslist.org/00k0k_dolBLuGUNNU_09G04z_300x300.jpg, https://images.craigslist.org/00j0j_9H3I7SsqNOd_03q07g_300x300.jpg, https://images.craigslist.org/00101_8hPqvdT6sQ6_03q07g_300x300.jpg, https://images.craigslist.org/00b0b_aKZy9t0ZfGI_09G04z_300x300.jpg, https://images.craigslist.org/00B0B_8gIlgX3ioxB_03q07g_300x300.jpg, https://images.craigslist.org/00d0d_2qMfucrPdnM_09G04z_300x300.jpg",Fri Aug 14 03:18:06 2020,San Diego,Riverside Antique/Vintage Rolltop Desk with Chair,400.0,https://sandiego.craigslist.org/csd/atq/d/san-diego-riverside-antique-vintage/7167411314.html
33,2020-08-10 13:30,7169234326,https://images.craigslist.org/00202_hy2UUBedrL5_0CI0t2_300x300.jpg,Fri Aug 14 03:18:06 2020,ESCONDIDO,Desk Chair,100.0,https://sandiego.craigslist.org/nsd/fuo/d/escondido-desk-chair/7169234326.html
34,2020-08-10 12:08,7163711623,"https://images.craigslist.org/01515_7QQVfODwxN4_0jj0t2_300x300.jpg, https://images.craigslist.org/00S0S_6FesZ98FTuS_0CI0pO_300x300.jpg, https://images.craigslist.org/00303_89b2uunD4pw_0CI0pO_300x300.jpg, https://images.craigslist.org/00l0l_jXpBoJChTCg_0CI0pO_300x300.jpg, https://images.craigslist.org/00D0D_6DKvOphtmtM_0CI0pO_300x300.jpg, https://images.craigslist.org/00d0d_5Cl5gFKQGZY_0CI0pO_300x300.jpg, https://images.craigslist.org/00W0W_6btp7XzgPUN_0CI0pO_300x300.jpg, https://images.craigslist.org/00k0k_bMSYiGz0hAN_0CI0pO_300x300.jpg, https://images.craigslist.org/01313_aNiVrfblP3d_0CI0pO_300x300.jpg, https://images.craigslist.org/00O0O_kMtqTGaGIJf_0CI0pO_300x300.jpg, https://images.craigslist.org/01515_iPuXgg8PFux_0CI0pO_300x300.jpg, https://images.craigslist.org/01212_gVAoI0gRnc5_0CI0pO_300x300.jpg, https://images.craigslist.org/00S0S_36rROFuVmoR_0g80ct_300x300.jpg",Fri Aug 14 03:18:06 2020,Rancho Penasquitos,"Computer Desk, Hutch & Chair ***** Sunny Designs",550.0,https://sandiego.craigslist.org/csd/fuo/d/san-diego-computer-desk-hutch-chair/7163711623.html
35,2020-08-10 12:08,7163711688,"https://images.craigslist.org/01515_7QQVfODwxN4_0jj0t2_300x300.jpg, https://images.craigslist.org/00S0S_6FesZ98FTuS_0CI0pO_300x300.jpg, https://images.craigslist.org/00303_89b2uunD4pw_0CI0pO_300x300.jpg, https://images.craigslist.org/00l0l_jXpBoJChTCg_0CI0pO_300x300.jpg, https://images.craigslist.org/00D0D_6DKvOphtmtM_0CI0pO_300x300.jpg, https://images.craigslist.org/00d0d_5Cl5gFKQGZY_0CI0pO_300x300.jpg, https://images.craigslist.org/00W0W_6btp7XzgPUN_0CI0pO_300x300.jpg, https://images.craigslist.org/00k0k_bMSYiGz0hAN_0CI0pO_300x300.jpg, https://images.craigslist.org/01313_aNiVrfblP3d_0CI0pO_300x300.jpg, https://images.craigslist.org/00O0O_kMtqTGaGIJf_0CI0pO_300x300.jpg, https://images.craigslist.org/01515_iPuXgg8PFux_0CI0pO_300x300.jpg, https://images.craigslist.org/01212_gVAoI0gRnc5_0CI0pO_300x300.jpg, https://images.craigslist.org/00S0S_36rROFuVmoR_0g80ct_300x300.jpg",Fri Aug 14 03:18:06 2020,Rancho Penasquitos,"Computer Desk, Hutch & Chair ***** Sunny Designs",550.0,https://sandiego.craigslist.org/csd/fuo/d/san-diego-computer-desk-hutch-chair/7163711688.html
36,2020-08-10 12:03,7174947886,"https://images.craigslist.org/00F0F_7YHIREcT65r_0lM0t2_300x300.jpg, https://images.craigslist.org/01515_7sg3waSm4vW_0lM0t2_300x300.jpg, https://images.craigslist.org/00Y0Y_7SI6kddEYmC_0lM0t2_300x300.jpg, https://images.craigslist.org/01515_kh2TP5PS2VU_0lM0t2_300x300.jpg, https://images.craigslist.org/00Y0Y_1FwxggCuvFt_0lM0t2_300x300.jpg, https://images.craigslist.org/00W0W_2IefmGZo48n_0lM0t2_300x300.jpg",Fri Aug 14 03:18:06 2020,Oceanside,Dresser and night stand $100 - Desk with chair $75,100.0,https://sandiego.craigslist.org/nsd/fuo/d/oceanside-dresser-and-night-stand-desk/7174947886.html
37,2020-08-10 08:18,7174770631,"https://images.craigslist.org/00x0x_ld3ggUyXxLo_0t20CI_300x300.jpg, https://images.craigslist.org/00707_bRh9FhK2is8_0t20CI_300x300.jpg",Fri Aug 14 03:18:06 2020,Julian,Vintage Kids desk/chair,25.0,https://sandiego.craigslist.org/esd/atq/d/santa-ysabel-vintage-kids-desk-chair/7174770631.html
38,2020-08-10 08:06,7174761555,"https://images.craigslist.org/00s0s_4MNMSEK1HyF_0qk0t2_300x300.jpg, https://images.craigslist.org/00b0b_ftbhmBAKr7X_0t20lM_300x300.jpg, https://images.craigslist.org/00505_awK2m26wgeN_0t20lM_300x300.jpg, https://images.craigslist.org/00y0y_43IlK8UiPhd_0im0t2_300x300.jpg, https://images.craigslist.org/00P0P_dVXocMoTumP_0f70t2_300x300.jpg",Fri Aug 14 03:18:06 2020,,"Desk, Chair & Dresser",0.0,https://sandiego.craigslist.org/csd/fuo/d/escondido-desk-chair-dresser/7174761555.html
39,2020-08-10 07:19,7174725316,"https://images.craigslist.org/00u0u_duuhuFmpBZ6_300x300.jpg, https://images.craigslist.org/00b0b_bcyEq8IRmVL_300x300.jpg, https://images.craigslist.org/00r0r_jlDMvGyhp8v_300x300.jpg, https://images.craigslist.org/01212_jGt6be5BuNc_300x300.jpg",Fri Aug 14 03:18:06 2020,"Orange County, CA",MOD WHITE AUTOMOTIVE FINISH CHROME OFFICE DESK&EXEC GEN. LEATHER CHAIR,690.0,https://sandiego.craigslist.org/csd/fuo/d/corona-del-mar-mod-white-automotive/7174725316.html
40,2020-08-09 12:58,7174382294,"https://images.craigslist.org/00N0N_bpYcJOpYs0D_0CI0t2_300x300.jpg, https://images.craigslist.org/00H0H_aQoxiESmFwR_0CI0t2_300x300.jpg",Fri Aug 14 03:18:06 2020,Mission Hills San Diego,Office Black Desk chair,75.0,https://sandiego.craigslist.org/csd/fuo/d/san-diego-office-black-desk-chair/7174382294.html
